"Question","Answer"
"Why is my package stuck at customs?","Shipments are held to ensure they satisfy export or import customs regulations. This may be due to missing or incomplete paperwork, waiting for clearance instructions or because the authorities may need more information to clear the goods. Until we can provide all the information to the authorities, we cannot process the shipment for clearance unless you have chosen to use your own customs broker. If your package is held at customs, FedEx will contact you for more information."
"Where is my package?","All you need to locate your FedEx package is a tracking number or a reference number. You can also track by using a FedEx Office order number or the number found on your door tag. To see where your package is, use one of the options below Visit fedex.com and track your shipment online Download the FedEx Mobile App and receive updates about where your package is while youre on the go Log in to FedEx Tracking with your user ID and password."
"How can I reschedule a delivery?","If you were not home when we tried to deliver your package, you can schedule a new delivery time on the FedEx Delivery page. On the page, simply select the Missed Delivery Card from the dropdown menu and enter your tracking number, email address and phone.You will then be able to choose a new delivery time for your package."
"What does the status 'Exception' mean?","The status Exception means that an unexpected event is delaying the delivery of your package. Some examples include Customs delays Holidays Strikes Bad weather No one was there to receive your package at delivery Missing documentation Security restrictions You can avoid delays by Taking public holidays, strikes and bad weather into account when planning your shipment Ensuring someone is available to receive your package at delivery Making sure all your shipping documents are in order Some exceptions, such as customs delays, might be out of your hands and then the best thing to do is wait."
"When will my package arrive?","Your package should arrive on the estimated delivery date and time. With your tracking number, you can keep an eye on your shipment and view the estimated delivery date and time. Visit fedex.com or download the FedEx Mobile App to track your shipment and see when it will arrive at your doorstep."
"Why do I have to pay duties and taxes?","Duties and taxes are imposed to generate revenue and protect local industry. You generally have to pay them at the time of import, before the goods are released for delivery. There are some reliefs for private importers e.g. gifts, moving home and for commercial shipments with country specific regulations. For more information, check out Shipping Channel."
"What are duties and taxes?","Duties and taxes are set and charged by the authorities and FedEx applies the rates set by the authorities in the customs declaration. Duty is a type of tax charged on products being shipped across international borders and is controlled by each countrys customs authorities. The purpose of duty is to ensure the cost of imported goods is the same cost as those produced locally to keep competition fair. One of the most common taxes is Value Added Tax, which is charged on goods bought and sold for use or consumption in a country. It may be charged at the moment of importation or at the moment of sale in the origin country. Tax can be referred to differently depending on the country for example, VAT Value Added Tax in the U.K., GST Goods and Services Tax in the U.S., TVA Taxe sur la Valeur Ajoute in France, BTW Belasting Toegevoegde Waarde in the Netherlands and EUSt Einfuhrumsatzsteuer in Germany."
"How is duty and tax applied?","Duty and tax are dependent on the HS code and country of origin. Generally, tax is a percentage of the value of the goods, with some goods being zero-rated in some countries, such as childrens books and some food stuffs. In general, the calculations are based upon the goods description provided on the commercial invoice and its HS code. However, other factors such as the country of origin and reason for import may all contribute to the overall value and percentage of duty and tax applied. Some commodities are also subject to other charges such as excise duty which is an additional tax based on quantity an example is alcohol. Goods that are subject to trade defence measures and other restrictions may also incur extra charges."
"How is duty calculated?","Duty is calculated against the value of the shipments contents declared on the commercial invoice, together with any insurance costs and a percentage of the transportation cost this is known as the value for customs. This value is then multiplied by the duty percentage of the Harmonized System HS code."
"How can I pay the duties and taxes?","There are three ways you can pay the duties and taxes to FedEx 1. Direct debit Contact Customer Service to set up a direct debit. 2. Credit card We accept all major credit cards and there are two ways you can pay Link your card to your FedEx account Pay online with FedEx Billing Online Remember, never send your card details by email or in any other written form to FedEx or anyone else. 3. Electronic Bank Transfer You can make a payment by EFT to the following account Account Name FedEx Express UK Limited Bank HSBC Account number 61418637 Sort code 400250 IBAN number GB50 MIDL 4002 5061 4186 37."
"What is a disbursement fee?","FedEx may pay duties and taxes on your behalf. That means theres a fee, also known as the disbursement fee, which is part of our ancillary charges. Please see our ancillary clearance service fees page to see the charge for the country youre shipping to."
"I’m a temporary visitor in a country, do duties and taxes still apply?","Yes, you will still need to pay duties and taxes when importing goods however, you may be entitled to claim the charges back when you leave, depending on the country and your circumstances. Please contact Customer Service for more information on claiming duties and taxes back."
"If I’m shipping samples, do I need to pay duties and taxes?","Samples can often be imported into a country without duty or tax charges, as long as they meet specific conditions, including The goods may only be used as samples e.g. a single glove or scored clothing Theyre of low value Theyre intended to be examined with the intention of placing an order to purchase the goods for commercial purposes The item must be clearly indicated as a sample on the commercial invoice and any other paperwork provided with the shipment. This will enable FedEx to identify this to the authorities and claim relief of duties and taxes."
"If the shipment is a gift, do I need to pay duties and taxes?","Some countries permit gifts to be imported free of duties and taxes, however, they often have strict criteria which must be followed including The sender must be a private individual and the recipient must accept the delivery at a private address The gift must be sent free of charge and of an occasional nature The word gift must be marked on the air waybill and commercial invoice along with the actual detailed description of what the gift is All goods must be itemized with their own full description and value note that the value of the gift may not exceed a certain amount and that the amount is limitedset per country Not all countries permit gifts, so check the rules and regulations on the customs website of the country youre shipping to. Please note that items containing alcohol will incur excise duty. Items containing food or other controlled items may need additional documentation and be subject to further checks, potentially resulting in additional charges."
"When do I have to pay duties and taxes?","Import duties and taxes are mandated by legislation there are only a few exceptions when you dont have to pay them. You need to pay the duties and taxes before the goods are released into the country. For more information on duties and taxes and whether you need to pay them head to this page."
"I prepaid duty and tax charges before delivery, so why have you charged me?","Tax is generally applied by the authorities at the time of import. If you have paid the tax to your supplier and this is not clearly indicated on the paperwork supplied by the shipper, then FedEx will not be aware of this. You may need to discuss this with your supplier or seller for future shipments to ensure the correct billing terms are selected when completing the FedEx air waybill, and the appropriate Incoterms are used on the commercial invoice."
"I want to return a shipment, so can I get a refund on the duties and taxes?","If you no longer want a shipment, it will be considered a rejected import, your shipment must comply with strict rules, for example Goods are defective or damaged before clearingcustoms They do not comply with the suppliers terms and conditions of contract Claims must be made before the goods are returned or destroyed Claims must be made within 12 months of the original entry to the authorities You will still need to pay duties and taxes to FedEx and process a claim directly withthe authorities to reject your shipment."
"Does FedEx provide customs clearance solutions?","Yes, FedEx acts as an intermediary between the customer and the customs authorities throughout the customs clearance process, unless instructed otherwise and provides support when things get complicated. For example, if your shipment has specific requirements for clearance, we can help you find the right solution. Our customs clearance services may be different per country depending on local permits, regulations and the processing that may be required. The customs charges are billed to the recipient or designated third party in the destination country."
"How do I declare the value of my goods?","You state the value of your goods on the commercial invoice this is the amount paid for the items being imported the actual selling price. Say youre shipping two watches each valued at 160, then the value would be 320. Bear in mind inaccurate values are one of the most common reasons for duty and tax disputes, so make sure the declared value is accurate and is consistent with the value shown on the commercial invoice."
